WBS ID,Title,Description,Phase,Type,Status,Assignee,Start date,Due date,Effort,Priority,Blocked by,Deliverable,Deliverable type,Repo / Path,Technical Difficulty,Is risk ?,Murphy ID,Risk – Cause,Risk – Effect,Risk – Category,Probability,Impact / Gravité,Risk score,Response strategy,Mitigation plan,Contingency plan,Risk owner,Workstream,Review needed ?,Links
,Transform renvoie une shape différente entre fit et predict,"Cause: Conditions if/else différentes selon mode | Symptômes: ValueError 'X has n_features, expected m' en predict | Détection: Comparer X.shape à chaque étape train et predict | Prévention: Interdire toute logique conditionnelle dépendant du mode | Test: Test unitaire: appliquer pipeline.fit puis pipeline.predict sur X",4 – Modélisation / ML,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-042,Conditions if/else différentes selon mode,Pipeline inutilisable en prod temps réel,Model,3 – Possible,5 – Catastrophique,15,,Interdire toute logique conditionnelle dépendant du mode,Comparer X.shape à chaque étape train et predict,,Pipeline ML,Pas de review,
,Mélange des epochs de tous les sujets dans un même split,Cause: split sklearn train_test_split sur toutes les lignes | Symptômes: Subjects présents à la fois en train et test | Détection: Vérifier répartition unique des subject_id par split | Prévention: Faire split par sujet (GroupKFold/LeaveOneGroupOut) | Test: Comparer accuracy avant/après split par sujet,5 – Évaluation / Validation,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-043,split sklearn train_test_split sur toutes les lignes,"Accuracy surévaluée, non conforme au subject §V.1.4",Planning,4 – Probable,5 – Catastrophique,20,,Faire split par sujet (GroupKFold/LeaveOneGroupOut),Vérifier répartition unique des subject_id par split,,Pipeline ML,Pas de review,
,Usage sur X pré-transformé sans pipeline complet,Cause: Score évalué sans filtrage ni CSP dans la boucle CV | Symptômes: Résultat ne reflète pas la chaîne réelle de traitement | Détection: Vérifier objet passé à cross_val_score (Pipeline vs clf) | Prévention: Toujours donner pipeline complet à cross_val_score | Test: Imprimer les scores pour chaque fold et les comparer à test final,5 – Évaluation / Validation,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-044,Score évalué sans filtrage ni CSP dans la boucle CV,Écart fort entre cross_val_score et accuracy finale,Planning,3 – Possible,4 – Critique,12,,Toujours donner pipeline complet à cross_val_score,Vérifier objet passé à cross_val_score (Pipeline vs clf),,Pipeline ML,Pas de review,
,Mauvais calcul de la moyenne demandée §V.1.4,Cause: Somme des accuracy non divisée par le bon nombre | Symptômes: Mean accuracy affichée diffère des logs par expérience | Détection: Reproduire l’exemple du subject et comparer formule | Prévention: Écrire une fonction compute_global_score testée | Test: Tester compute_global_score sur les valeurs de l’exemple,5 – Évaluation / Validation,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-045,Somme des accuracy non divisée par le bon nombre,Critère 60% non vérifié correctement,Planning,3 – Possible,4 – Critique,12,,Écrire une fonction compute_global_score testée,Reproduire l’exemple du subject et comparer formule,,Pipeline ML,Pas de review,
,Choix d’un classifier très complexe sur peu de données,"Cause: Accuracy quasi 100% en train, <50% en sujet non vu | Symptômes: Modèle inutilisable en pratique, biaisé par bruit | Détection: Commencer par un classifier simple (LDA/LogReg) | Prévention: Tracer courbes de validation selon C/régularisation | Test: Appliquer la détection décrite et vérifier la disparition du symptôme",4 – Modélisation / ML,Risk,Backlog,,,,,Should,,,,,,Yes,TPV-046,"Accuracy quasi 100% en train, <50% en sujet non vu",Comparer learning curves train/validation,Model,3 – Possible,4 – Critique,12,,Tracer courbes de validation selon C/régularisation,Commencer par un classifier simple (LDA/LogReg),,Pipeline ML,Pas de review,
,Ignorer le ratio classe 1/2 dans les epochs,Cause: Random baseline déjà >50% | Symptômes: Interpretation naïve d’un 60% comme excellent | Détection: Afficher distribution des labels dans chaque split | Prévention: Utiliser metrics balanced_accuracy_score | Test: Comparer accuracy et balanced_accuracy sur même modèle,4 – Modélisation / ML,Risk,In progress,,,,,Should,,,,,,Yes,TPV-047,Random baseline déjà >50%,Biais en faveur de la classe majoritaire,Model,3 – Possible,3 – Important,9,,Utiliser metrics balanced_accuracy_score,Afficher distribution des labels dans chaque split,,Pipeline ML,Pas de review,
,"Pipeline trop lourd (FFT dense, CSP coûteux, classifier lent)","Cause: Optimisation jamais testée en chronométrant | Symptômes: Temps entre event et prédiction >2s | Détection: Mesurer temps d’inférence avec time.perf_counter par epoch | Prévention: Optimiser pipeline (réduire dims, classifier plus simple) | Test: Tester sur 1 minute de stream simulé et logguer les latences",6 – Infra / CI/CD,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-048,Optimisation jamais testée en chronométrant,Non-respect checklist 'Realtime',Infra / CI/CD,3 – Possible,5 – Catastrophique,15,,"Optimiser pipeline (réduire dims, classifier plus simple)",Mesurer temps d’inférence avec time.perf_counter par epoch,,Dev / Infra,Pas de review,
,Syntaxe mybci.py <subj> <task> non respectée,Cause: Ajout d’options sans doc ni valeurs par défaut | Symptômes: Évaluateur n’arrive pas à reproduire exemple du subject | Détection: Tester python mybci.py 4 14 train/predict comme dans §V.1.4 | Prévention: Aligner interface CLI sur l’exemple officiel | Test: Écrire tests CLI avec argparse et subprocess,6 – Infra / CI/CD,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-050,Ajout d’options sans doc ni valeurs par défaut,"Perte de temps, suspicion de non-conformité",Infra / CI/CD,3 – Possible,4 – Critique,12,,Aligner interface CLI sur l’exemple officiel,Tester python mybci.py 4 14 train/predict comme dans §V.1.4,,Dev / Infra,Pas de review,
,Aucune vérification de NaN/inf après chaque étape,"Cause: Divisions par zéro, log sur 0, erreurs num. | Symptômes: Classifier sklearn lève des erreurs aléatoires | Détection: Utiliser np.isnan/np.isinf sur X à chaque étape clé | Prévention: Nettoyer ou dropper les epochs problématiques | Test: Test unitaire qui échoue si NaN/inf détectés",4 – Modélisation / ML,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-051,"Divisions par zéro, log sur 0, erreurs num.",Training/predict interrompus avec stacktrace compliqué,Model,3 – Possible,5 – Catastrophique,15,,Nettoyer ou dropper les epochs problématiques,Utiliser np.isnan/np.isinf sur X à chaque étape clé,,Pipeline ML,Pas de review,
,Choix de canaux/fenêtres non expliqués dans la défense,Cause: Étudiant montre des figures 'belles' mais peu informatives | Symptômes: Évaluateur ne voit pas l’apport du filtrage/MI | Détection: Comparer raw vs filtered sur mêmes canaux/temps que la vidéo | Prévention: Préparer 2–3 figures directement liées au checklist | Test: Revérifier que les figures reproduisent l’exemple du sujet,7 – Documentation / Deliverables,Risk,In progress,,,,,Could,,,,,,Yes,TPV-052,Étudiant montre des figures 'belles' mais peu informatives,Bonus viz non crédible,Documentation,3 – Possible,2 – Modéré,6,,Préparer 2–3 figures directement liées au checklist,Comparer raw vs filtered sur mêmes canaux/temps que la vidéo,,Doc / Support,Pas de review,
,Code ne suit plus la description orale en défense,Cause: Refactors tardifs non mis à jour dans le README | Symptômes: Évaluateur trouve des divergences sur pipeline réel | Détection: Relire subject §V.1.* et vérifier alignment avec README | Prévention: Maintenir README à jour à chaque refactor clé | Test: Dry-run de défense avec un pair en suivant le subject,7 – Documentation / Deliverables,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-053,Refactors tardifs non mis à jour dans le README,"Perte de confiance, risques de questions de cheat",Documentation,3 – Possible,4 – Critique,12,,Maintenir README à jour à chaque refactor clé,Relire subject §V.1.* et vérifier alignment avec README,,Doc / Support,Pas de review,
,Offset event-signal,Cause: Décalage seconds/samples | Symptômes: Epoch mal centrée | Détection: Comparer event times | Prévention: Convertir via sfreq | Test: Tester sur 3 sujets,2 – Prétraitement / Filtrage,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-200,Décalage seconds/samples,Baisse accuracy,EEG / Signal,3 – Possible,5 – Catastrophique,15,,Convertir via sfreq,Comparer event times,,R&D EEG,Pas de review,
,Offset event-signal,Cause: Décalage seconds/samples | Symptômes: Epoch mal centrée | Détection: Comparer event times | Prévention: Convertir via sfreq | Test: Tester sur 3 sujets,2 – Prétraitement / Filtrage,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-201,Décalage seconds/samples,Baisse accuracy,EEG / Signal,3 – Possible,5 – Catastrophique,15,,Convertir via sfreq,Comparer event times,,R&D EEG,Pas de review,
,Offset event-signal,Cause: Décalage seconds/samples | Symptômes: Epoch mal centrée | Détection: Comparer event times | Prévention: Convertir via sfreq | Test: Tester sur 3 sujets,2 – Prétraitement / Filtrage,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-202,Décalage seconds/samples,Baisse accuracy,EEG / Signal,3 – Possible,5 – Catastrophique,15,,Convertir via sfreq,Comparer event times,,R&D EEG,Pas de review,
,Offset event-signal,Cause: Décalage seconds/samples | Symptômes: Epoch mal centrée | Détection: Comparer event times | Prévention: Convertir via sfreq | Test: Tester sur 3 sujets,2 – Prétraitement / Filtrage,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-203,Décalage seconds/samples,Baisse accuracy,EEG / Signal,3 – Possible,5 – Catastrophique,15,,Convertir via sfreq,Comparer event times,,R&D EEG,Pas de review,
,Offset event-signal,Cause: Décalage seconds/samples | Symptômes: Epoch mal centrée | Détection: Comparer event times | Prévention: Convertir via sfreq | Test: Tester sur 3 sujets,2 – Prétraitement / Filtrage,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-204,Décalage seconds/samples,Baisse accuracy,EEG / Signal,3 – Possible,5 – Catastrophique,15,,Convertir via sfreq,Comparer event times,,R&D EEG,Pas de review,
,Offset event-signal,Cause: Décalage seconds/samples | Symptômes: Epoch mal centrée | Détection: Comparer event times | Prévention: Convertir via sfreq | Test: Tester sur 3 sujets,2 – Prétraitement / Filtrage,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-205,Décalage seconds/samples,Baisse accuracy,EEG / Signal,3 – Possible,5 – Catastrophique,15,,Convertir via sfreq,Comparer event times,,R&D EEG,Pas de review,
,Offset event-signal,Cause: Décalage seconds/samples | Symptômes: Epoch mal centrée | Détection: Comparer event times | Prévention: Convertir via sfreq | Test: Tester sur 3 sujets,2 – Prétraitement / Filtrage,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-206,Décalage seconds/samples,Baisse accuracy,EEG / Signal,3 – Possible,5 – Catastrophique,15,,Convertir via sfreq,Comparer event times,,R&D EEG,Pas de review,
,Offset event-signal,Cause: Décalage seconds/samples | Symptômes: Epoch mal centrée | Détection: Comparer event times | Prévention: Convertir via sfreq | Test: Tester sur 3 sujets,2 – Prétraitement / Filtrage,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-207,Décalage seconds/samples,Baisse accuracy,EEG / Signal,3 – Possible,5 – Catastrophique,15,,Convertir via sfreq,Comparer event times,,R&D EEG,Pas de review,
,Offset event-signal,Cause: Décalage seconds/samples | Symptômes: Epoch mal centrée | Détection: Comparer event times | Prévention: Convertir via sfreq | Test: Tester sur 3 sujets,2 – Prétraitement / Filtrage,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-208,Décalage seconds/samples,Baisse accuracy,EEG / Signal,3 – Possible,5 – Catastrophique,15,,Convertir via sfreq,Comparer event times,,R&D EEG,Pas de review,
,Offset event-signal,Cause: Décalage seconds/samples | Symptômes: Epoch mal centrée | Détection: Comparer event times | Prévention: Convertir via sfreq | Test: Tester sur 3 sujets,2 – Prétraitement / Filtrage,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-209,Décalage seconds/samples,Baisse accuracy,EEG / Signal,3 – Possible,5 – Catastrophique,15,,Convertir via sfreq,Comparer event times,,R&D EEG,Pas de review,
,Erreur reshape PSD,Cause: Axes inversés | Symptômes: Features incohérentes | Détection: Vérif shape | Prévention: Utiliser helper | Test: Test unitaire reshape,3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-210,Axes inversés,CSP instable,Model,3 – Possible,5 – Catastrophique,15,,Utiliser helper,Vérif shape,,Pipeline ML,Pas de review,
,Erreur reshape PSD,Cause: Axes inversés | Symptômes: Features incohérentes | Détection: Vérif shape | Prévention: Utiliser helper | Test: Test unitaire reshape,3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-211,Axes inversés,CSP instable,Model,3 – Possible,5 – Catastrophique,15,,Utiliser helper,Vérif shape,,Pipeline ML,Pas de review,
,Erreur reshape PSD,Cause: Axes inversés | Symptômes: Features incohérentes | Détection: Vérif shape | Prévention: Utiliser helper | Test: Test unitaire reshape,3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-212,Axes inversés,CSP instable,Model,3 – Possible,5 – Catastrophique,15,,Utiliser helper,Vérif shape,,Pipeline ML,Pas de review,
,Erreur reshape PSD,Cause: Axes inversés | Symptômes: Features incohérentes | Détection: Vérif shape | Prévention: Utiliser helper | Test: Test unitaire reshape,3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-213,Axes inversés,CSP instable,Model,3 – Possible,5 – Catastrophique,15,,Utiliser helper,Vérif shape,,Pipeline ML,Pas de review,
,Erreur reshape PSD,Cause: Axes inversés | Symptômes: Features incohérentes | Détection: Vérif shape | Prévention: Utiliser helper | Test: Test unitaire reshape,3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-214,Axes inversés,CSP instable,Model,3 – Possible,5 – Catastrophique,15,,Utiliser helper,Vérif shape,,Pipeline ML,Pas de review,
,Erreur reshape PSD,Cause: Axes inversés | Symptômes: Features incohérentes | Détection: Vérif shape | Prévention: Utiliser helper | Test: Test unitaire reshape,3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-215,Axes inversés,CSP instable,Model,3 – Possible,5 – Catastrophique,15,,Utiliser helper,Vérif shape,,Pipeline ML,Pas de review,
,Erreur reshape PSD,Cause: Axes inversés | Symptômes: Features incohérentes | Détection: Vérif shape | Prévention: Utiliser helper | Test: Test unitaire reshape,3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-216,Axes inversés,CSP instable,Model,3 – Possible,5 – Catastrophique,15,,Utiliser helper,Vérif shape,,Pipeline ML,Pas de review,
,Erreur reshape PSD,Cause: Axes inversés | Symptômes: Features incohérentes | Détection: Vérif shape | Prévention: Utiliser helper | Test: Test unitaire reshape,3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-217,Axes inversés,CSP instable,Model,3 – Possible,5 – Catastrophique,15,,Utiliser helper,Vérif shape,,Pipeline ML,Pas de review,
,Erreur reshape PSD,Cause: Axes inversés | Symptômes: Features incohérentes | Détection: Vérif shape | Prévention: Utiliser helper | Test: Test unitaire reshape,3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-218,Axes inversés,CSP instable,Model,3 – Possible,5 – Catastrophique,15,,Utiliser helper,Vérif shape,,Pipeline ML,Pas de review,
,Erreur reshape PSD,Cause: Axes inversés | Symptômes: Features incohérentes | Détection: Vérif shape | Prévention: Utiliser helper | Test: Test unitaire reshape,3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-219,Axes inversés,CSP instable,Model,3 – Possible,5 – Catastrophique,15,,Utiliser helper,Vérif shape,,Pipeline ML,Pas de review,
,Covariance singulière,Cause: Peu d’epochs | Symptômes: np.linalg error | Détection: Logger n_epochs | Prévention: Régulariser | Test: Tester petites tailles,3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-220,Peu d’epochs,Training cassé,Model,3 – Possible,5 – Catastrophique,15,,Régulariser,Logger n_epochs,,Pipeline ML,Pas de review,
,Covariance singulière,Cause: Peu d’epochs | Symptômes: np.linalg error | Détection: Logger n_epochs | Prévention: Régulariser | Test: Tester petites tailles,3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-221,Peu d’epochs,Training cassé,Model,3 – Possible,5 – Catastrophique,15,,Régulariser,Logger n_epochs,,Pipeline ML,Pas de review,
,Covariance singulière,Cause: Peu d’epochs | Symptômes: np.linalg error | Détection: Logger n_epochs | Prévention: Régulariser | Test: Tester petites tailles,3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-222,Peu d’epochs,Training cassé,Model,3 – Possible,5 – Catastrophique,15,,Régulariser,Logger n_epochs,,Pipeline ML,Pas de review,
,Covariance singulière,Cause: Peu d’epochs | Symptômes: np.linalg error | Détection: Logger n_epochs | Prévention: Régulariser | Test: Tester petites tailles,3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-223,Peu d’epochs,Training cassé,Model,3 – Possible,5 – Catastrophique,15,,Régulariser,Logger n_epochs,,Pipeline ML,Pas de review,
,Covariance singulière,Cause: Peu d’epochs | Symptômes: np.linalg error | Détection: Logger n_epochs | Prévention: Régulariser | Test: Tester petites tailles,3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-224,Peu d’epochs,Training cassé,Model,3 – Possible,5 – Catastrophique,15,,Régulariser,Logger n_epochs,,Pipeline ML,Pas de review,
,Covariance singulière,Cause: Peu d’epochs | Symptômes: np.linalg error | Détection: Logger n_epochs | Prévention: Régulariser | Test: Tester petites tailles,3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-225,Peu d’epochs,Training cassé,Model,3 – Possible,5 – Catastrophique,15,,Régulariser,Logger n_epochs,,Pipeline ML,Pas de review,
,Covariance singulière,Cause: Peu d’epochs | Symptômes: np.linalg error | Détection: Logger n_epochs | Prévention: Régulariser | Test: Tester petites tailles,3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-226,Peu d’epochs,Training cassé,Model,3 – Possible,5 – Catastrophique,15,,Régulariser,Logger n_epochs,,Pipeline ML,Pas de review,
,Covariance singulière,Cause: Peu d’epochs | Symptômes: np.linalg error | Détection: Logger n_epochs | Prévention: Régulariser | Test: Tester petites tailles,3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-227,Peu d’epochs,Training cassé,Model,3 – Possible,5 – Catastrophique,15,,Régulariser,Logger n_epochs,,Pipeline ML,Pas de review,
,Covariance singulière,Cause: Peu d’epochs | Symptômes: np.linalg error | Détection: Logger n_epochs | Prévention: Régulariser | Test: Tester petites tailles,3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-228,Peu d’epochs,Training cassé,Model,3 – Possible,5 – Catastrophique,15,,Régulariser,Logger n_epochs,,Pipeline ML,Pas de review,
,Covariance singulière,Cause: Peu d’epochs | Symptômes: np.linalg error | Détection: Logger n_epochs | Prévention: Régulariser | Test: Tester petites tailles,3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-229,Peu d’epochs,Training cassé,Model,3 – Possible,5 – Catastrophique,15,,Régulariser,Logger n_epochs,,Pipeline ML,Pas de review,
,"Events alignés sur début du cue, pas sur période d’imagerie","Cause: Lecture incomplète du protocole moteur | Symptômes: Epochs centrés trop tôt par rapport à la vraie activité MI | Détection: Tracer moyenne par classe autour de l’event sur [-2s, +4s] | Prévention: Recentrer les fenêtres sur la période d’imagerie (cf. doc Physionet) | Test: Appliquer la détection décrite et vérifier la disparition du symptôme",2 – Prétraitement / Filtrage,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-680,Lecture incomplète du protocole moteur,"Le modèle ne voit que la préparation visuelle, pas le MI",EEG / Signal,3 – Possible,5 – Catastrophique,15,,Recentrer les fenêtres sur la période d’imagerie (cf. doc Physionet),"Tracer moyenne par classe autour de l’event sur [-2s, +4s]",,R&D EEG,Pas de review,
,tmin/tmax exprimés en samples alors que MNE attend des secondes,"Cause: Confusion unités secondes/samples dans l’API MNE | Symptômes: Epochs beaucoup trop longs ou trop courts, voire vides | Détection: Inspecter epochs.get_data().shape vs tmin/tmax choisis | Prévention: Toujours exprimer tmin/tmax en secondes, vérifier cohérence avec sfreq | Test: Appliquer la détection décrite et vérifier la disparition du symptôme",2 – Prétraitement / Filtrage,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-681,Confusion unités secondes/samples dans l’API MNE,"Découpage aberrant, shapes inattendues, training instable",EEG / Signal,3 – Possible,5 – Catastrophique,15,,"Toujours exprimer tmin/tmax en secondes, vérifier cohérence avec sfreq",Inspecter epochs.get_data().shape vs tmin/tmax choisis,,R&D EEG,Pas de review,
,"Inclusion de codes d’events non MI (rest, artefacts, breaks)",Cause: Mapping event_id trop large sans filtrage des tâches | Symptômes: Dataset mélangé avec des états de repos ou de pause | Détection: Lister les event_id uniques et les confronter à la doc Physionet | Prévention: Limiter explicitement aux event_id MI décrits par le subject | Test: Appliquer la détection décrite et vérifier la disparition du symptôme,2 – Prétraitement / Filtrage,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-682,Mapping event_id trop large sans filtrage des tâches,Classifier apprend à distinguer repos/bruit plutôt que MI,EEG / Signal,3 – Possible,5 – Catastrophique,15,,Limiter explicitement aux event_id MI décrits par le subject,Lister les event_id uniques et les confronter à la doc Physionet,,R&D EEG,Pas de review,
,Exclusion involontaire d’une classe (ex: feet) lors du filtrage,Cause: Filtre sur event_id mal paramétré/typo | Symptômes: Une classe disparait du jeu d’apprentissage | Détection: Vérifier distribution des labels après filtrage (np.bincount) | Prévention: Ajouter une assertion sur la présence de toutes les classes attendues | Test: Appliquer la détection décrite et vérifier la disparition du symptôme,2 – Prétraitement / Filtrage,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-683,Filtre sur event_id mal paramétré/typo,Classifier se comporte comme un modèle mono-classe,EEG / Signal,3 – Possible,5 – Catastrophique,15,,Ajouter une assertion sur la présence de toutes les classes attendues,Vérifier distribution des labels après filtrage (np.bincount),,R&D EEG,Pas de review,
,Mélange d’events de runs différents dans la même séquence temporelle,"Cause: Concaténation brute de fichiers sans garder l’info de run | Symptômes: Indices de temps non remis à zéro, time gaps énormes | Détection: Inspecter chronologie des events par fichier/run | Prévention: Garder un identifiant run dans les métadonnées des epochs | Test: Appliquer la détection décrite et vérifier la disparition du symptôme",2 – Prétraitement / Filtrage,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-684,Concaténation brute de fichiers sans garder l’info de run,Epochs chevauchent des transitions de run artificielles,EEG / Signal,3 – Possible,5 – Catastrophique,15,,Garder un identifiant run dans les métadonnées des epochs,Inspecter chronologie des events par fichier/run,,R&D EEG,Pas de review,
,Conservation de trials avec amplitude saturée persistante,"Cause: Aucun critère de rejet sur amplitude ou variance | Symptômes: Certaines epochs contiennent uniquement du signal saturé | Détection: Tracer la distribution des amplitudes par epoch | Prévention: Définir des règles de rejet (z-score amplitude, variance) | Test: Appliquer la détection décrite et vérifier la disparition du symptôme",2 – Prétraitement / Filtrage,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-685,Aucun critère de rejet sur amplitude ou variance,Scores très sensibles à quelques trials extrêmes,EEG / Signal,3 – Possible,5 – Catastrophique,15,,"Définir des règles de rejet (z-score amplitude, variance)",Tracer la distribution des amplitudes par epoch,,R&D EEG,Pas de review,
,"Fenêtres MI trop longues, couvrant plusieurs événements",Cause: Durée fixée sans vérifier la densité d’événements | Symptômes: Epochs contiennent potentiellement deux cues successifs | Détection: Comparer histogramme des inter-event intervals | Prévention: Adapter tmax pour ne pas chevaucher le cue suivant | Test: Appliquer la détection décrite et vérifier la disparition du symptôme,2 – Prétraitement / Filtrage,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-686,Durée fixée sans vérifier la densité d’événements,"Confusion de labels, features moyennées sur plusieurs tâches",EEG / Signal,3 – Possible,5 – Catastrophique,15,,Adapter tmax pour ne pas chevaucher le cue suivant,Comparer histogramme des inter-event intervals,,R&D EEG,Pas de review,
,Utilisation de fenêtres centrées après le feedback visuel,"Cause: Décision entraînée sur une information postérieure à la consigne | Symptômes: Accuracy anormalement haute en test, chute sur sujet non vu | Détection: Comparer tmin/tmax à la timeline réelle du protocole | Prévention: Contraindre fenêtres à rester dans [cue, fin MI] | Test: Appliquer la détection décrite et vérifier la disparition du symptôme",2 – Prétraitement / Filtrage,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-687,Décision entraînée sur une information postérieure à la consigne,Triche involontaire sur la tâche MI,EEG / Signal,3 – Possible,5 – Catastrophique,15,,"Contraindre fenêtres à rester dans [cue, fin MI]",Comparer tmin/tmax à la timeline réelle du protocole,,R&D EEG,Pas de review,
,Décalage de 1 event entre y et les epochs (off-by-one),Cause: Indexation des labels après un shuffle/tri des events | Symptômes: Courbes de vérité/prediction déphasées de 1 | Détection: Comparer y et y_shuffled pour détecter un motif de décalage | Prévention: Toujours attacher les labels aux epochs via structures MNE (metadata) | Test: Appliquer la détection décrite et vérifier la disparition du symptôme,2 – Prétraitement / Filtrage,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-688,Indexation des labels après un shuffle/tri des events,Accuracy proche d’une permutation circulaire,EEG / Signal,3 – Possible,5 – Catastrophique,15,,Toujours attacher les labels aux epochs via structures MNE (metadata),Comparer y et y_shuffled pour détecter un motif de décalage,,R&D EEG,Pas de review,
,Rejet d’epochs sans ajuster la taille correspondante de y,"Cause: Manipulation séparée de X et y sans index commun | Symptômes: ValueError ou, pire, mauvaise association X/y silencieuse | Détection: Comparer len(X) et len(y) à chaque opération de drop | Prévention: Centraliser drop dans une structure qui manipule X,y ensemble | Test: Appliquer la détection décrite et vérifier la disparition du symptôme",2 – Prétraitement / Filtrage,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-689,Manipulation séparée de X et y sans index commun,Apprentissage sur des labels décalés,EEG / Signal,3 – Possible,5 – Catastrophique,15,,"Centraliser drop dans une structure qui manipule X,y ensemble",Comparer len(X) et len(y) à chaque opération de drop,,R&D EEG,Pas de review,
,Split train/test ignorent complètement l’équilibre des labels,"Cause: Random split sans stratification sur la classe | Symptômes: Une classe dominante en train et absente en test ou inversement | Détection: Afficher np.bincount(y_train), np.bincount(y_test) | Prévention: Utiliser StratifiedKFold/StratifiedShuffleSplit pour MI binaire | Test: Appliquer la détection décrite et vérifier la disparition du symptôme",2 – Prétraitement / Filtrage,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-690,Random split sans stratification sur la classe,"Scores instables, interprétation des métriques difficile",EEG / Signal,3 – Possible,5 – Catastrophique,15,,Utiliser StratifiedKFold/StratifiedShuffleSplit pour MI binaire,"Afficher np.bincount(y_train), np.bincount(y_test)",,R&D EEG,Pas de review,
,Labels inversés (1/2) pour certains sujets par erreur de mapping,Cause: Mapping event_id->label défini par sujet sans harmonisation | Symptômes: Le modèle voit des patterns contradictoires entre sujets | Détection: Vérifier la table de mapping par sujet et la rendre globale | Prévention: Fixer un mapping unique au niveau projet et tester par sujet | Test: Appliquer la détection décrite et vérifier la disparition du symptôme,2 – Prétraitement / Filtrage,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-691,Mapping event_id->label défini par sujet sans harmonisation,Accuracy moyenne faible malgré performance correcte par sujet,EEG / Signal,3 – Possible,5 – Catastrophique,15,,Fixer un mapping unique au niveau projet et tester par sujet,Vérifier la table de mapping par sujet et la rendre globale,,R&D EEG,Pas de review,
,Certains runs/sujets contribuent beaucoup plus de trials,"Cause: Aucune pondération ni équilibrage par run/sujet | Symptômes: Le modèle se spécialise sur quelques sujets | Détection: Analyser n_trials par (sujet, run, classe) | Prévention: Échantillonner ou pondérer les trials pour équilibrer | Test: Appliquer la détection décrite et vérifier la disparition du symptôme",2 – Prétraitement / Filtrage,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-692,Aucune pondération ni équilibrage par run/sujet,Scores biaisés vers les patterns de quelques personnes,EEG / Signal,3 – Possible,5 – Catastrophique,15,,Échantillonner ou pondérer les trials pour équilibrer,"Analyser n_trials par (sujet, run, classe)",,R&D EEG,Pas de review,
